title,description,category,difficulty,image_query
Try indoor rock climbing,"Give indoor rock climbing a proper try. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,indoor rock climbing outdoor adventure
Climb at an outdoor crag with a guide,"Climb at an outdoor crag with a guide. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,outdoor crag guide outdoor adventure
Complete a beginner via ferrata,Set yourself the goal to complete a beginner via ferrata. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,via ferrata outdoor adventure
Go canyoning through a river gorge,"Make a plan to go canyoning through a river gorge. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Hard,canyoning river gorge outdoor adventure
Try white-water rafting,"Give white-water rafting a proper try. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Hard,white water rafting outdoor adventure
Kayak on a calm lake,"Kayak on a calm lake. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,kayak calm lake outdoor adventure
Canoe down a gentle river,Canoe down a gentle river. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,canoe gentle river outdoor adventure
Try stand-up paddleboarding,"Give stand-up paddleboarding a proper try. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,stand paddleboarding outdoor adventure
Take a beginner surfing lesson,"Make time to take a beginner surfing lesson. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,surfing lesson outdoor adventure
Try windsurfing,"Give windsurfing a proper try. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,windsurfing outdoor adventure
Try kitesurfing with an instructor,Give kitesurfing with an instructor a proper try. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Hard,kitesurfing instructor outdoor adventure
Take a tandem paragliding flight,"Make time to take a tandem paragliding flight. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Hard,tandem paragliding flight outdoor adventure
Go tandem skydiving,"Make a plan to go tandem skydiving. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Hard,tandem skydiving outdoor adventure
Try a bungee jump,"Give a bungee jump a proper try. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Hard,bungee jump outdoor adventure
Ride a long zipline,Make time to ride a long zipline. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,long zipline outdoor adventure
Explore a show cave,"Take time to explore a show cave. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,show cave outdoor adventure
Join a guided wild-caving trip,"Join a guided wild-caving trip. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Hard,guided wild caving trip outdoor adventure
Ride a mountain bike trail,"Make time to ride a mountain bike trail. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,mountain bike trail outdoor adventure
Try downhill mountain biking,Give downhill mountain biking a proper try. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Hard,downhill mountain biking outdoor adventure
Go on an overnight bikepacking trip,"Make a plan to go on an overnight bikepacking trip. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,overnight bikepacking trip outdoor adventure
Take a horseback trail ride,"Make time to take a horseback trail ride. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,horseback trail ride outdoor adventure
Go snowshoeing,"Make a plan to go snowshoeing. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,snowshoeing outdoor adventure
Take a beginner ski lesson,Make time to take a beginner ski lesson. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,ski lesson outdoor adventure
Learn to snowboard,"Learn the basics of snowboard. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,snowboard outdoor adventure
Try cross-country skiing,"Give cross-country skiing a proper try. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,cross country skiing outdoor adventure
Go ice skating outdoors,"Make a plan to go ice skating outdoors. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,ice skating outdoors outdoor adventure
Go sledding on a real hill,Make a plan to go sledding on a real hill. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,sledding hill outdoor adventure
Take a hot-air balloon flight,"Make time to take a hot-air balloon flight. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,hot air balloon flight outdoor adventure
Learn the basics of sailing,"Spend a focused session learning the basics of sailing. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,sailing outdoor adventure
Try wakeboarding,"Give wakeboarding a proper try. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,wakeboarding outdoor adventure
Try water skiing,Give water skiing a proper try. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,water skiing outdoor adventure
Go coasteering with a guide,"Make a plan to go coasteering with a guide. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,coasteering guide outdoor adventure
Go snorkeling in clear water,"Make a plan to go snorkeling in clear water. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,snorkeling clear water outdoor adventure
Take an introductory scuba dive,"Make time to take an introductory scuba dive. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Hard,introductory scuba dive outdoor adventure
Try a beginner freediving session,Give a beginner freediving session a proper try. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Hard,freediving session outdoor adventure
Take an archery lesson,"Make time to take an archery lesson. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,archery lesson outdoor adventure
Try axe throwing,"Give axe throwing a proper try. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,axe throwing outdoor adventure
Play a full outdoor paintball game,"Play a full outdoor paintball game. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,outdoor paintball game outdoor adventure
Complete an orienteering course,Set yourself the goal to complete an orienteering course. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,orienteering course outdoor adventure
Finish a challenging geocaching route,"Finish a challenging geocaching route. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,finish challenging geocaching route outdoor adventure
Run an obstacle course race,"Set yourself the goal to run an obstacle course race. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,obstacle course race outdoor adventure
Take part in a mud run,"Make time to take part in a mud run. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,part mud run outdoor adventure
Run a trail race,Set yourself the goal to run a trail race. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,trail race outdoor adventure
Try a guided river-trekking route,"Give a guided river-trekking route a proper try. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,guided river trekking route outdoor adventure
Go on a sunset hike,"Make a plan to go on a sunset hike. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,sunset hike outdoor adventure
Join a guided night hike,"Join a guided night hike. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,guided night hike outdoor adventure
Sleep in a hammock outdoors,Spend the night in a hammock outdoors. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,sleep hammock outdoors outdoor adventure
Build a simple wilderness shelter,"Make this one happen: build a simple wilderness shelter. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,wilderness shelter outdoor adventure
Cook a meal over a campfire,"Cook a meal over a campfire. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,meal over campfire outdoor adventure
Complete a treetop ropes course,"Set yourself the goal to complete a treetop ropes course. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,treetop ropes course outdoor adventure
Learn basic rappelling,Spend a focused session learning basic rappelling. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,rappelling outdoor adventure
Scramble to a mountain viewpoint,"Make this one happen: scramble to a mountain viewpoint. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,scramble mountain viewpoint outdoor adventure
Hike on a volcanic landscape,"Hike on a volcanic landscape. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,volcanic landscape outdoor adventure
Join a guided glacier hike,"Join a guided glacier hike. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Hard,guided glacier hike outdoor adventure
Hike across desert dunes,Hike across desert dunes. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,across desert dunes outdoor adventure
Try sandboarding,"Give sandboarding a proper try. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,sandboarding outdoor adventure
Go snow tubing,"Make a plan to go snow tubing. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,snow tubing outdoor adventure
Try dog sledding,"Give dog sledding a proper try. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,dog sledding outdoor adventure
Spend a weekend sailing,Set aside time to spend a weekend sailing. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,weekend sailing outdoor adventure
Take a wilderness survival course,"Make time to take a wilderness survival course. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Hard,wilderness survival course outdoor adventure
Take an outdoor first-aid course,"Make time to take an outdoor first-aid course. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,outdoor aid course outdoor adventure
Learn map-and-compass navigation,"Spend a focused session learning map-and-compass navigation. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Medium,map compass navigation outdoor adventure
Spend a night in a mountain hut,Set aside time to spend a night in a mountain hut. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,night mountain hut outdoor adventure
Reach the summit of a local peak,"Set a goal to reach the summit of a local peak. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Hard,summit peak outdoor adventure
Complete a multi-day trek,"Set yourself the goal to complete a multi-day trek. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Hard,multi day trek outdoor adventure
Try packrafting,"Give packrafting a proper try. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Hard,packrafting outdoor adventure
Float down a river on a tube,Float down a river on a tube. Give yourself enough time to do it properly and stay within your current skill level.,Adventure,Medium,river tube outdoor adventure
Walk a high suspension bridge,"Walk a high suspension bridge. Go with the right equipment and guidance, then enjoy being somewhere outside your normal routine.",Adventure,Medium,high suspension bridge outdoor adventure
Try outdoor bouldering,"Give outdoor bouldering a proper try. Plan the basics, use appropriate safety guidance, and focus on enjoying the challenge rather than rushing it.",Adventure,Medium,outdoor bouldering outdoor adventure
Experience indoor skydiving,"Experience indoor skydiving. Choose a beginner-friendly version if needed, prepare for the conditions, and make the day about the experience.",Adventure,Hard,indoor skydiving outdoor adventure
Spend a weekend in a city you have never visited,"Set aside time to spend a weekend in a city you have never visited. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,weekend city never visited travel destination
Take your first solo city break,Make time to take your first solo city break. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Medium,solo city break travel destination
Travel overnight on a sleeper train,"Plan a chance to travel overnight on a sleeper train. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Medium,overnight sleeper train travel destination
Take a spontaneous road trip,Make time to take a spontaneous road trip. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Medium,spontaneous road trip travel destination
Visit an island by ferry,"Make time to visit an island by ferry. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,island ferry travel destination
Plan a trip using only public transport,Plan a trip using only public transport. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Medium,trip public transport travel destination
Stay in a hostel for the first time,"Book a chance to stay in a hostel for the first time. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,hostel time travel destination
Stay in a family-run guesthouse,Book a chance to stay in a family-run guesthouse. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,family run guesthouse travel destination
Sleep in a cabin in the countryside,"Spend the night in a cabin in the countryside. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,sleep cabin countryside travel destination
Spend a night on a houseboat,Set aside time to spend a night on a houseboat. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,night houseboat travel destination
Stay on a working farm,"Book a chance to stay on a working farm. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,working farm travel destination
Book a tiny-house getaway,Book a tiny-house getaway. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,tiny house getaway travel destination
Visit a UNESCO World Heritage Site,"Make time to visit a UNESCO World Heritage Site. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,unesco world heritage site travel destination
Ride one of the world’s scenic train routes,Make time to ride one of the world’s scenic train routes. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,world scenic train routes travel destination
See the northern lights,"Make a plan to see the northern lights. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,northern lights travel destination
Watch sunrise in a new country,Set aside time to watch sunrise in a new country. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,sunrise country travel destination
Watch sunset from a famous viewpoint,"Set aside time to watch sunset from a famous viewpoint. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,sunset famous viewpoint travel destination
Cross an international border on foot,Cross an international border on foot. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,international border foot travel destination
Take a ferry between two countries,"Make time to take a ferry between two countries. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,ferry between two countries travel destination
Travel with only a carry-on bag,Plan a chance to travel with only a carry-on bag. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Medium,carry bag travel destination
Spend 24 hours exploring without a car,"Set aside time to spend 24 hours exploring without a car. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Medium,24 hours exploring car travel destination
Visit a capital city you have never seen,Make time to visit a capital city you have never seen. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,capital city never seen travel destination
Explore a small town instead of a major city,"Take time to explore a small town instead of a major city. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,small town instead major city travel destination
Take a day trip to a neighboring country,Make time to take a day trip to a neighboring country. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Medium,day trip neighboring country travel destination
Visit a place where you do not speak the language,"Make time to visit a place where you do not speak the language. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Medium,place where not speak language travel destination
Order a meal abroad using the local language,Order a meal abroad using the local language. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,meal abroad language travel destination
Visit a traditional market abroad,"Make time to visit a traditional market abroad. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,traditional market abroad travel destination
Take a local food tour while traveling,Make time to take a local food tour while traveling. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,food tour while traveling travel destination
Join a free walking tour,"Join a free walking tour. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,free walking tour travel destination
Use a city bike-share in a new city,Use a city bike-share in a new city. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,city bike share city travel destination
Ride a tram through a historic city center,"Make time to ride a tram through a historic city center. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,tram historic city center travel destination
Take a cable car to a mountain viewpoint,Make time to take a cable car to a mountain viewpoint. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,cable car mountain viewpoint travel destination
Visit a coastal village,"Make time to visit a coastal village. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,coastal village travel destination
Explore a medieval old town,Take time to explore a medieval old town. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,medieval old town travel destination
Walk across a famous city bridge,"Walk across a famous city bridge. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,across famous city bridge travel destination
Visit a border town,Make time to visit a border town. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,border town travel destination
Take a scenic bus route,"Make time to take a scenic bus route. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,scenic bus route travel destination
Visit a remote lighthouse,Make time to visit a remote lighthouse. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,remote lighthouse travel destination
Spend a night near the sea,"Set aside time to spend a night near the sea. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,night near sea travel destination
Visit a mountain village,Make time to visit a mountain village. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,mountain village travel destination
Take a weekend trip with no fixed itinerary,"Make time to take a weekend trip with no fixed itinerary. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Medium,weekend trip fixed itinerary travel destination
Travel somewhere chosen by a random map pin,Plan a chance to travel somewhere chosen by a random map pin. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Medium,chosen random map pin travel destination
Visit the birthplace of a famous person,"Make time to visit the birthplace of a famous person. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,birthplace famous person travel destination
See a major landmark before sunrise,Make a plan to see a major landmark before sunrise. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,major landmark before sunrise travel destination
Visit a country during its national festival,"Make time to visit a country during its national festival. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,country during its national festival travel destination
